Accession,Name,Label_Phenotyping,,,Grain_weight(g),N_seeds,Average_weight,Adjusted_weight
GSOR 310007,Karang Serang,07-13-2021_EpsonV600_001,,,3.0213,100,0.030213,3.0213
GSOR 310015,Mayang Khang,07-13-2021_EpsonV600_002,,,2.2592,100,0.022592,2.2592
GSOR 310020,E B Gopher,07-13-2021_EpsonV600_003,,,2.8815,95,0.03033157895,3.033157895
GSOR 310023,RD 218,07-13-2021_EpsonV600_004,,,2.4616,100,0.024616,2.4616
GSOR 310039,C 5560,07-13-2021_EpsonV600_005,,,2.859,99,0.02887878788,2.887878788
GSOR 310045,LEAH,07-13-2021_EpsonV600_006,,,2.6171,100,0.026171,2.6171
GSOR 310052,Quinimpol,07-13-2021_EpsonV600_007,,,2.8824,100,0.028824,2.8824
GSOR 310080,TAICHU MOCHI 59,07-13-2021_EpsonV600_008,,,1.8242,100,0.018242,1.8242
GSOR 310087,WC 2811,07-13-2021_EpsonV600_009,,,2.9644,98,0.03024897959,3.024897959
GSOR 310100,Ao Chiu 2 Hao,07-13-2021_EpsonV600_010,,,2.2758,100,0.022758,2.2758
GSOR 310102,Criollo Chivacoa 2,07-13-2021_EpsonV600_011,,,2.5981,100,0.025981,2.5981
GSOR 310111,Bombilla,07-13-2021_EpsonV600_012,,,3.1524,100,0.031524,3.1524
GSOR 310131,Secano do Brazil,07-19-2021_EpsonV600_013,,,3.0043,100,0.030043,3.0043
GSOR 310134,BERLIN,07-19-2021_EpsonV600_014,,,2.48,100,0.0248,2.48
GSOR 310144,British Honduras Creole,07-19-2021_EpsonV600_015,,,2.8792,100,0.028792,2.8792
GSOR 310156,Sel. No. 388,07-19-2021_EpsonV600_016,,,2.8131,100,0.028131,2.8131
GSOR 310161,SHIMIZU MOCHI,07-19-2021_EpsonV600_017,,,2.4335,100,0.024335,2.4335
GSOR 310200,Chin Chin,07-19-2021_EpsonV600_018,,,2.3421,100,0.023421,2.3421
GSOR 310204,Italica Carolina,07-19-2021_EpsonV600_019,,,2.6566,100,0.026566,2.6566
GSOR 310210,KRASNODARSKIJ 424,07-19-2021_EpsonV600_020,,,2.7925,100,0.027925,2.7925
GSOR 310211,Pergonil 15,07-19-2021_EpsonV600_021,,,2.8573,100,0.028573,2.8573
GSOR 310219,Red Khosha Cerma,07-19-2021_EpsonV600_022,,,2.3646,100,0.023646,2.3646
GSOR 310220,Safut Khosha,07-19-2021_EpsonV600_023,,,2.6733,100,0.026733,2.6733
GSOR 310238,R 75,07-19-2021_EpsonV600_024,,,2.9172,100,0.029172,2.9172
GSOR 310241,UZ ROSZ M38,07-19-2021_EpsonV600_025,,,2.6077,100,0.026077,2.6077
GSOR 310301,H57-3-1,07-19-2021_EpsonV600_026,,,2.9183,100,0.029183,2.9183
GSOR 310317,WC 5563,07-19-2021_EpsonV600_027,,,1.6525,100,0.016525,1.6525
GSOR 310337,Khao Phoi,07-19-2021_EpsonV600_028,,,2.9257,96,0.03047604167,3.047604167
GSOR 310338,Khao Luang,07-20-2021_EpsonV600_029,,,3.005,84,0.03577380952,3.577380952
GSOR 310345,J.P. 5,07-20-2021_EpsonV600_030,,,2.078,100,0.02078,2.078
GSOR 310348,C 8429,07-20-2021_EpsonV600_031,,,2.9277,94,0.03114574468,3.114574468
GSOR 310351,Warrangal Culture 1252,07-20-2021_EpsonV600_032,,,2.0127,100,0.020127,2.0127
GSOR 310354,Padi Pohon Batu,07-20-2021_EpsonV600_033,,,2.5731,100,0.025731,2.5731
GSOR 310381,NC 1/536,07-20-2021_EpsonV600_034,,,1.5217,100,0.015217,1.5217
GSOR 310389,Won Son Zo,07-20-2021_EpsonV600_035,,,2.4361,100,0.024361,2.4361
GSOR 310397,Chacareiro Uruguay,07-20-2021_EpsonV600_036,,,2.4423,100,0.024423,2.4423
GSOR 310399,Doble Carolina,07-28-2021_EpsonV600_037,,,1.828,100,0.01828,1.828
GSOR 310415,Ai Chueh Ta Pai Ku,07-28-2021_EpsonV600_038,,,2.1711,100,0.021711,2.1711
GSOR 310420,Bau 122,07-28-2021_EpsonV600_039,,,1.8132,100,0.018132,1.8132
GSOR 310428,Sipirasikkam,07-28-2021_EpsonV600_040,,,2.3067,100,0.023067,2.3067
GSOR 310440,TJ,07-28-2021_EpsonV600_041,,,2.1362,100,0.021362,2.1362
GSOR 310442,PD 46,07-28-2021_EpsonV600_042,,,2.3786,100,0.023786,2.3786
GSOR 310446,Acheh,07-28-2021_EpsonV600_043,,,1.8561,100,0.018561,1.8561
GSOR 310471,PATNAI 6,07-28-2021_EpsonV600_044,,,2.6137,100,0.026137,2.6137
GSOR 310475,K8C-263-3,07-28-2021_EpsonV600_045,,,2.171,100,0.02171,2.171
GSOR 310480,Djimoron,07-28-2021_EpsonV600_046,,,2.7569,100,0.027569,2.7569
GSOR 310481,Anandi,07-28-2021_EpsonV600_047,,,2.3212,100,0.023212,2.3212
GSOR 310489,Chun 118-33,07-28-2021_EpsonV600_048,,,2.4028,100,0.024028,2.4028
GSOR 310494,WW 8/2290,07-28-2021_EpsonV600_049,,,3.1416,88,0.0357,3.57
GSOR 310503,Manga Kely 694,07-28-2021_EpsonV600_050,,,2.8703,100,0.028703,2.8703
GSOR 310510,BLUE STICK,07-28-2021_EpsonV600_051,,,2.0793,100,0.020793,2.0793
GSOR 310515,Nam Dawk Mai,07-28-2021_EpsonV600_052,,,2.7877,100,0.027877,2.7877
GSOR 310519,GUYANE 1,07-28-2021_EpsonV600_053,,,2.1742,100,0.021742,2.1742
GSOR 310546,MAHSURI,07-28-2021_EpsonV600_054,,,1.367,100,0.01367,1.367
GSOR 310566,INIAP 7,07-28-2021_EpsonV600_055,,,2.6625,100,0.026625,2.6625
GSOR 310588,Onu B,07-28-2021_EpsonV600_056,,,2.8986,100,0.028986,2.8986
GSOR 310598,Red,07-28-2021_EpsonV600_057,,,2.284,100,0.02284,2.284
GSOR 310615,Dichroa Alef Uslkij,07-28-2021_EpsonV600_058,,,2.543,100,0.02543,2.543
GSOR 310630,BKN 6987-68-14,07-28-2021_EpsonV600_059,,,2.8616,100,0.028616,2.8616
GSOR 310632,IR 4482-5-3-9-5,07-28-2021_EpsonV600_060,,,2.2165,100,0.022165,2.2165
GSOR 310645,MOROBEREKAN,07-28-2021_EpsonV600_061,,,2.9133,100,0.029133,2.9133
GSOR 310670,KUBANETS 508,07-28-2021_EpsonV600_062,,,2.9781,100,0.029781,2.9781
GSOR 310687,IR 9660-48-1-1-2,07-28-2021_EpsonV600_063,,,2.569,100,0.02569,2.569
GSOR 310693,Bakiella 1,07-28-2021_EpsonV600_064,,,1.8891,100,0.018891,1.8891
GSOR 310702,Jumli dhan,07-28-2021_EpsonV600_065,,,2.3071,100,0.023071,2.3071
GSOR 310703,N-2703,07-28-2021_EpsonV600_066,,,2.0436,100,0.020436,2.0436
GSOR 310714,TCHAMPA,07-28-2021_EpsonV600_067,,,2.702,100,0.02702,2.702
GSOR 310715,PHUDUGEY,07-28-2021_EpsonV600_068,,,1.6116,100,0.016116,1.6116
GSOR 310723,WIR 3039,07-28-2021_EpsonV600_069,,,2.4799,100,0.024799,2.4799
GSOR 310724,Ak Tokhum,07-28-2021_EpsonV600_070,,,2.9155,100,0.029155,2.9155
GSOR 310747,BHIM DHAN,07-28-2021_EpsonV600_071,,,2.1958,100,0.021958,2.1958
GSOR 310757,RP2151-173-1-8,07-28-2021_EpsonV600_072,,,2.6392,100,0.026392,2.6392
