"measurementlabel","Eccentricity","Solidity","CH.Vertices","Area","CH.Area","Perimeter","Longest.Path","Major.Axis","Minor.Axis"
"V600001",0.95909325,0.928466232,24,375.105,404.005,31.931439524,88.485,12.4115071095,3.5135777089
"V600001",0.925493776,0.975922953,21,284.24,291.2525,23.4449868495,65.79,8.916280938,3.37715566605
"V600001",0.953064121,0.971533517,22,314.755,323.9775,26.2439461035,76.245,10.529301067,3.18794097915
"V600001",0.937888741,0.972972973,21,310.59,319.2175,25.132905349,64.345,10.067131077,3.4926519584
"V600001",0.929559078,0.940144601,26,337.11,358.5725,26.968733564,71.91,10.0351918765,3.699706192
"V600001",0.947752818,0.962314939,20,303.875,315.775,25.969358015,70.21,10.1340600175,3.23282226605
"V600001",0.946256059,0.976439791,18,348.755,357.17,26.4516564385,75.395,10.8208673105,3.49966774025
"V600001",0.924986405,0.981961498,25,275.315,280.3725,23.005403153,62.22,8.8337400475,3.35682296735
"V600001",0.936278539,0.971639657,26,346.545,356.66,27.142272131,70.805,10.319248506,3.6247232244
"V600001",0.967746376,0.839134166,23,374,445.6975,36.966027604,99.62,13.1678626265,3.3173332976
"V600001",0.944656931,0.972876401,23,254.575,261.6725,23.4897743185,66.47,9.087334751,2.98118991845
"V600001",0.93134465,0.907647305,20,276.93,305.1075,25.5176928095,64.175,9.2359868225,3.36318214375
"V600001",0.937644003,0.980431013,25,336.43,343.145,25.6258194565,72.335,10.213827936,3.55029666935
"V600001",0.953749859,0.982768692,24,286.025,291.04,24.10082384,67.745,10.0162524825,3.0108995817
"V600001",0.938404285,0.980850703,19,245.99,250.7925,22.3751950055,57.035,8.80567173,3.04270551665
"V600001",0.928667131,0.9970964,25,291.89,292.74,22.6412401435,60.605,9.238826596,3.4268121722
"V600001",0.927965327,0.988864143,26,320.79,324.4025,24.2899824745,71.23,9.5556285065,3.56106304135
"V600001",0.945853164,0.946776514,24,307.7,324.9975,26.874154251,73.1,10.2475025135,3.32628614445
"V600001",0.926706238,0.990018387,26,320.365,323.595,24.3035298,68.255,9.515710832,3.5758763696
"V600001",0.944199469,0.956626217,23,338.385,353.7275,27.1145705545,74.035,10.6048900625,3.4929771803
"V600001",0.952620136,0.866503232,14,330.48,381.395,29.870815073,74.46,11.8148378795,3.59363161075
"V600001",0.920602324,0.98428628,20,316.795,321.8525,24.186860211,62.22,9.292388037,3.6286907388
"V600001",0.928157675,0.97120681,22,329.715,339.49,25.2445705545,67.49,9.920427095,3.6922562412
"V600001",0.924429418,0.9700152,23,298.35,307.5725,24.6179009655,66.98,9.30431522,3.5482302284
"V600001",0.97643,0.846358689,21,310.675,367.0725,32.9735298,100.215,13.3674795505,2.8851609041
"V600001",0.956024764,0.963782696,23,285.005,295.715,25.76164768,70.635,10.3186376195,3.026311474
"V600001",0.936370028,0.952685119,22,342.295,359.295,26.9651950055,76.925,10.2585860035,3.6009123036
"V600001",0.954405231,0.920051504,20,334.05,363.0775,29.286860211,87.55,11.3055499245,3.3748658179
"V600001",0.967912226,0.904165767,19,356.065,393.805,31.795611309,92.14,13.327071613,3.34894014385
"V600001",0.922170203,0.985454545,23,299.455,303.875,23.4072765145,58.395,9.073498383,3.5094869802
"V600001",0.946968243,0.940728398,22,335.92,357.085,28.1003987695,81.77,10.639128836,3.41864109075
"V600001",0.94821664,0.953572288,20,336.94,353.345,27.818733564,75.225,10.7700542085,3.42083106985
"V600001",0.9572034,0.912214193,20,327.25,358.7425,29.242072742,84.405,11.4653425635,3.3182541655
"V600001",0.923871409,0.972113776,24,296.31,304.81,23.843321644,65.28,9.1607382945,3.50584241905
"V600001",0.971121918,0.89671585,23,320.28,357.17,32.6612313765,94.265,12.6811515045,3.02551706315
