"measurementlabel","Area","Mean","IQR","lower.25%","high.75%","outlier"
"V600001",33.745,313.510909090909,49.2575,216.68625,413.71625,"yes"
"V600001",25.075,313.510909090909,49.2575,216.68625,413.71625,"yes"
"V600001",685.27,313.510909090909,49.2575,216.68625,413.71625,"yes"
"V600002",181.05,219.819834710744,18.7,183.43,258.23,"yes"
"V600002",181.985,219.819834710744,18.7,183.43,258.23,"yes"
"V600002",159.545,219.819834710744,18.7,183.43,258.23,"yes"
"V600002",170.85,219.819834710744,18.7,183.43,258.23,"yes"
"V600003",170,271.058736842105,39.78,189.7625,348.8825,"yes"
"V600005",245.82,292.519871794872,23.5875,247.37125,341.72125,"yes"
"V600005",226.95,292.519871794872,23.5875,247.37125,341.72125,"yes"
"V600010",80.07,237.018103448276,36.975,169.7875,317.6875,"yes"
"V600010",110.5,237.018103448276,36.975,169.7875,317.6875,"yes"
"V600012",182.41,253.145327868852,27.115,197.7525,306.2125,"yes"
"V600012",526.915,253.145327868852,27.115,197.7525,306.2125,"yes"
"V600012",178.84,253.145327868852,27.115,197.7525,306.2125,"yes"
"V600013",165.325,263.801363636364,37.7825000000001,186.72375,337.85375,"yes"
"V600013",557.77,263.801363636364,37.7825000000001,186.72375,337.85375,"yes"
"V600014",325.805,247.320348837209,37.6975,171.89125,322.68125,"yes"
"V600015",181.9,244.63,27.4975,191.165,301.155,"yes"
"V600016",88.4,242.989196428571,46.94125,151.693125,339.458125,"yes"
"V600016",150.62,242.989196428571,46.94125,151.693125,339.458125,"yes"
"V600017",154.615,251.334375,37.315,179.32875,328.58875,"yes"
"V600018",102.255,230.5778,34.57375,163.508125,301.803125,"yes"
"V600020",392.19,305.626165048544,39.7375,225.31375,384.26375,"yes"
"V600020",418.54,305.626165048544,39.7375,225.31375,384.26375,"yes"
"V600020",185.045,305.626165048544,39.7375,225.31375,384.26375,"yes"
"V600020",214.71,305.626165048544,39.7375,225.31375,384.26375,"yes"
"V600020",212.755,305.626165048544,39.7375,225.31375,384.26375,"yes"
"V600021",303.875,225.76796875,33.6175,157.69625,292.16625,"yes"
"V600023",143.905,181.9085,18.02,146.71,218.79,"yes"
"V600024",167.79,236.211730769231,23.7575,190.91,285.94,"yes"
"V600024",175.78,236.211730769231,23.7575,190.91,285.94,"yes"
"V600024",177.65,236.211730769231,23.7575,190.91,285.94,"yes"
"V600025",197.88,248.956826923077,16.8725,216.9625,284.4525,"yes"
"V600025",202.385,248.956826923077,16.8725,216.9625,284.4525,"yes"
"V600028",266.815,216.854615384615,19.57125,177.724375,256.009375,"yes"
"V600028",175.355,216.854615384615,19.57125,177.724375,256.009375,"yes"
"V600030",176.205,229.616571428571,28.07125,176.895625,289.180625,"yes"
"V600030",170.255,229.616571428571,28.07125,176.895625,289.180625,"yes"
"V600030",157.76,229.616571428571,28.07125,176.895625,289.180625,"yes"
"V600031",167.45,214.375762711864,22.865,169.7875,261.2475,"yes"
