"measurementlabel","Eccentricity","Solidity","Area","CH.Vertices","CH.Area","Minor.Axis","Major.Axis","Perimeter","Longest.Path","GSOR","region","sub-population","seed_weight"
"V600001",0.941112859,0.96946284,316.54,23,324.4025,3.41864109075,10.0351918765,25.7545705545,71.23,"310007","Indonesia","TRJ",3.0213
"V600002",0.8704277055,0.9964048325,221.7225,23,222.955,3.3944793316,6.837888203025,18.4239461035,48.79,"310015","Indonesia","IND",2.2592
"V600006",0.92011894,0.997146933,274.635,24,273.8275,3.17999914185,8.7483567825,21.5749868495,59.755,"310045","United States","TRJ",2.6171
"V600007",0.94827598,0.991585046,269.45,23,272.595,3.000711021,9.4824480455,22.8197830855,64.09,"310052","Philippines","TRJ",2.8824
"V600008",0.941921144,0.9902674475,285.26,25,287.1725,3.183415756375,9.55123946775,23.13769281375,63.9625,"310080","Taiwan","TRJ",1.8242
"V600010",0.8834211755,0.9763849105,252.96,22,256.4875,3.56252654075,7.6807193757,21.07352979575,54.4425,"310100","China","IND",2.2758
"V600011",0.9082648905,0.983325783,250.4525,22,254.93625,3.370972881225,8.1294544221,21.677072742,57.63,"310102","Venezuela","TRJ",2.5981
"V600012",0.951486621,0.9880808715,252.4075,23,254.34125,2.895584383125,9.4118904295,22.54592791375,63.325,"310111","Spain","TEJ",3.1524
"V600013",0.924715279,0.987338001,266.56,23,271.83,3.2715262791,8.611751863,22.072905349,59.585,"310131","El Salvador","TRJ",3.0043
"V600014",0.858182623,0.991867105,253.045,23,254.7025,3.691490364,7.19390579215,19.6637379475,51.68,"310134","Costa Rica","IND",2.48
"V600015",0.856285272,0.9965940515,248.4125,23,250.1125,3.7101184846,7.0678130343,19.33228089375,49.9375,"310144","Belize","TRJ",2.8792
"V600017",0.8162479885,0.9965945135,256.7,24,258.54875,3.972527580575,7.00151119235,19.7487379475,50.9575,"310161","Japan","TEJ",2.4335
