Accession Prefix,Accession Number,NSGC Accession Number,Taxon,PlantID,Country,Subpop,Bran Color
GSOR,310007,CIor 2490,Oryza sativa,Karang Serang,Indonesia,TRJ,Light Brown
GSOR,310015,CIor 7155,Oryza sativa,Mayang Khang,Indonesia,IND,Light Brown
GSOR,310020,CIor 9032,Oryza sativa,E B Gopher,United States,TRJ,Light Brown
GSOR,310023,CIor 9049,Oryza sativa,Rd 218,Dominican Republic,ADMIX,Light Brown
GSOR,310039,CIor 9723,Oryza sativa,C 5560,Thailand,ADMIX,White
GSOR,310045,CIor 9979,Oryza sativa,Leah,United States,TRJ,Light Brown
GSOR,310052,CIor 12153,Oryza sativa,Quinimpol,Philippines,TRJ,White
GSOR,310080,PI 154464,Oryza sativa,Taichu Mochi 59,Taiwan,TRJ,Light Brown
GSOR,310087,PI 155990,Oryza sativa,Wc 2811,Micronesia,TRJ,Light Brown
GSOR,310100,PI 160700,Oryza sativa,Ao Chiu 2 Hao,China,IND,Light Brown
GSOR,310102,PI 161567,Oryza sativa,Criollo Chivacoa 2,Venezuela,TRJ,Light Brown
GSOR,310111,PI 168946,Oryza sativa,Bombilla,Spain,TEJ,Light Brown
GSOR,310131,PI 199553,Oryza sativa,Secano Do Brazil,El Salvador,TRJ,Light Brown
GSOR,310134,PI 202864,Oryza sativa,Berlin,Costa Rica,IND,Light Brown
GSOR,310144,PI 220214,Oryza sativa,British Honduras Creole,Belize,TRJ,Light Brown
GSOR,310156,PI 223612,Oryza sativa,Sel. No. 388,Uruguay,ADMIX,Light Brown
GSOR,310161,PI 226204,Oryza sativa,Shimizu Mochi,Japan,TEJ,White
GSOR,310196,PI 263813,Oryza sativa,81B/25,Suriname,IND,Light Brown
GSOR,310200,PI 264242,Oryza sativa,Chin Chin,Panama,IND,Light Brown
GSOR,310204,PI 265110,Oryza sativa,Italica Carolina,Poland,TEJ,Light Brown
GSOR,310210,PI 266122,Oryza sativa,Krasnodarskij 424,Russian Federation,TEJ,Light Brown
GSOR,310211,PI 267996,Oryza sativa,Pergonil 15,Portugal,TEJ,Light Brown
GSOR,310219,PI 277414,Oryza sativa,Red Khosha Cerma,Afghanistan,ARO,Light Brown
GSOR,310220,PI 277415,Oryza sativa,Safut Khosha,Afghanistan,AUS,Light Brown
GSOR,310226,PI 281630,Oryza sativa,Norin 11,Japan,TEJ,Light Brown
GSOR,310238,PI 282769,Oryza sativa,R 75,Senegal,TRJ,Light Brown
GSOR,310241,PI 291430,Oryza sativa,Uz Rosz M38,Uzbekistan,TEJ,White
GSOR,310301,PI 346827,Oryza sativa,H57-3-1,Argentina,TEJ,Light Brown
GSOR,310317,PI 353723,Oryza sativa,Iari 6626,India,AUS,White
GSOR,310337,PI 373232,Oryza sativa,Khao Phoi,Laos,ADMIX,White
GSOR,310338,PI 373249,Oryza sativa,Khao Luang,Laos,ADMIX,White
