Accession,Name,Label_Phenotyping,Notes
GSOR 310007,Karang Serang,07-13-2021_EpsonV600_001,e
GSOR 310015,Mayang Khang,07-13-2021_EpsonV600_002,e
GSOR 310020,E B Gopher,07-13-2021_EpsonV600_003,e
GSOR 310023,RD 218,07-13-2021_EpsonV600_004,e
GSOR 310039,C 5560,07-13-2021_EpsonV600_005,e
GSOR 310045,LEAH,07-13-2021_EpsonV600_006,e
GSOR 310052,Quinimpol,07-13-2021_EpsonV600_007,e
GSOR 310080,TAICHU MOCHI 59,07-13-2021_EpsonV600_008,e
GSOR 310087,WC 2811,07-13-2021_EpsonV600_009,e
GSOR 310100,Ao Chiu 2 Hao,07-13-2021_EpsonV600_010,e
GSOR 310102,Criollo Chivacoa 2,07-13-2021_EpsonV600_011,e
GSOR 310111,Bombilla,07-13-2021_EpsonV600_012,e
GSOR 310131,Secano do Brazil,07-19-2021_EpsonV600_013,e
GSOR 310134,BERLIN,07-19-2021_EpsonV600_014,e
GSOR 310144,British Honduras Creole,07-19-2021_EpsonV600_015,e
GSOR 310156,Sel. No. 388,07-19-2021_EpsonV600_016,e
GSOR 310161,SHIMIZU MOCHI,07-19-2021_EpsonV600_017,e
GSOR 310200,Chin Chin,07-19-2021_EpsonV600_018,e
GSOR 310204,Italica Carolina,07-19-2021_EpsonV600_019,e
GSOR 310210,KRASNODARSKIJ 424,07-19-2021_EpsonV600_020,e
GSOR 310211,Pergonil 15,07-19-2021_EpsonV600_021,e
GSOR 310219,Red Khosha Cerma,07-19-2021_EpsonV600_022,e
GSOR 310220,Safut Khosha,07-19-2021_EpsonV600_023,e
GSOR 310238,R 75,07-19-2021_EpsonV600_024,e
GSOR 310241,UZ ROSZ M38,07-19-2021_EpsonV600_025,e
GSOR 310301,H57-3-1,07-19-2021_EpsonV600_026,e
GSOR 310317,WC 5563,07-19-2021_EpsonV600_027,e
GSOR 310337,Khao Phoi,07-19-2021_EpsonV600_028,e
GSOR 310338,Khao Luang,07-20-2021_EpsonV600_029,e
GSOR 310345,J.P. 5,07-20-2021_EpsonV600_030,e
GSOR 310348,C 8429,07-20-2021_EpsonV600_031,e
GSOR 310351,Warrangal Culture 1252,07-20-2021_EpsonV600_032,e
GSOR 310354,Padi Pohon Batu,07-20-2021_EpsonV600_033,e
GSOR 310381,NC 1/536,07-20-2021_EpsonV600_034,e
GSOR 310389,Won Son Zo,07-20-2021_EpsonV600_035,e
GSOR 310397,Chacareiro Uruguay,07-20-2021_EpsonV600_036,e
GSOR 310399,Doble Carolina,07-28-2021_EpsonV600_037,e
GSOR 310415,Ai Chueh Ta Pai Ku,07-28-2021_EpsonV600_038,e
GSOR 310420,Bau 122,07-28-2021_EpsonV600_039,e
GSOR 310428,Sipirasikkam,07-28-2021_EpsonV600_040,e
GSOR 310440,TJ,07-28-2021_EpsonV600_041,e
GSOR 310442,PD 46,07-28-2021_EpsonV600_042,e
GSOR 310446,Acheh,07-28-2021_EpsonV600_043,e
GSOR 310471,PATNAI 6,07-28-2021_EpsonV600_044,e
GSOR 310475,K8C-263-3,07-28-2021_EpsonV600_045,e
GSOR 310480,Djimoron,07-28-2021_EpsonV600_046,e
GSOR 310481,Anandi,07-28-2021_EpsonV600_047,e
GSOR 310489,Chun 118-33,07-28-2021_EpsonV600_048,e
GSOR 310494,WW 8/2290,07-28-2021_EpsonV600_049,e
GSOR 310503,Manga Kely 694,07-28-2021_EpsonV600_050,e
GSOR 310510,BLUE STICK,07-28-2021_EpsonV600_051,e
GSOR 310515,Nam Dawk Mai,07-28-2021_EpsonV600_052,e
GSOR 310519,GUYANE 1,07-28-2021_EpsonV600_053,e
GSOR 310546,MAHSURI,07-28-2021_EpsonV600_054,e
GSOR 310566,INIAP 7,07-28-2021_EpsonV600_055,e
