Os07g0150200	LOC_Os07g05580
Os07g0150500	LOC_Os07g05610
Os07g0150600	None
Os07g0150700	LOC_Os07g05620
Os07g0150901	None
Os07g0151100	LOC_Os07g05630
Os07g0151200	LOC_Os07g05640
Os07g0151250	None
Os07g0151300	LOC_Os07g05650
Os07g0151650	None
Os07g0151700	LOC_Os07g05690
Os07g0151800	LOC_Os07g05700
Os07g0151900	LOC_Os07g05710
Os07g0152000	LOC_Os07g05720
Os07g0152101	None
Os07g0152200	LOC_Os07g05740
Os07g0152301	LOC_Os07g05750
Os07g0152500	LOC_Os07g05790
Os07g0152700	LOC_Os07g05800
Os07g0152800	LOC_Os07g05810
Os07g0152900	LOC_Os07g05820
Os07g0152950	None
Os07g0153000	LOC_Os07g05830
Os07g0153150	LOC_Os07g05840
Os07g0153300	LOC_Os07g05870
Os07g0153400	LOC_Os07g05880
Os07g0153600	LOC_Os07g05900
Os07g0154100	LOC_Os07g05940
Os07g0154201	None
Os07g0154300	LOC_Os07g05950
Os07g0154400	LOC_Os07g05960
Os07g0154800	LOC_Os07g06060
Os07g0154900	LOC_Os07g06070
Os07g0155100	LOC_Os07g06080
Os07g0155200	LOC_Os07g06090
Os07g0155600	LOC_Os07g06130
Os07g0156200	LOC_Os07g06175
Os07g0156467	LOC_Os07g06190
Os07g0156732	LOC_Os07g06190
Os07g0156910	None
Os07g0157000	LOC_Os07g06300
Os07g0157401	LOC_Os07g06300
Os07g0157600	LOC_Os07g06380
Os07g0157700	LOC_Os07g06390
Os07g0157900	LOC_Os07g06410
Os07g0158100	None
Os07g0158000	LOC_Os07g06420
Os07g0158200	LOC_Os07g06440
Os07g0158300	LOC_Os07g06450
Os07g0158400	LOC_Os07g06460
Os07g0158500	LOC_Os07g06470
Os07g0158800	LOC_Os07g06490
Os07g0158900	LOC_Os07g06500
Os07g0159200	LOC_Os07g06530
Os07g0159500	LOC_Os07g06550
Os07g0159550	None
Os07g0159600	LOC_Os07g06560
Os07g0159700	LOC_Os07g06570
Os07g0159800	LOC_Os07g06590
Os07g0159900	LOC_Os07g06600
Os07g0160000	LOC_Os07g06610
Os07g0160050	None
Os07g0160100	LOC_Os07g06620
Os07g0160300	LOC_Os07g06644
Os07g0160400	LOC_Os07g06660
Os07g0160500	LOC_Os07g06670
Os07g0160600	LOC_Os07g06680
Os07g0160800	None
Os07g0161000	LOC_Os07g06710
Os07g0161500	LOC_Os07g06730
Os07g0161600	LOC_Os07g06740
Os07g0161650	None
Os07g0161700	LOC_Os07g06750
Os07g0162100	LOC_Os07g06800
Os07g0162200	LOC_Os07g06810
Os07g0162300	LOC_Os07g06820
Os07g0162400	LOC_Os07g06830
Os07g0162450	LOC_Os07g06834
Os07g0162500	LOC_Os07g06840
Os07g0162600	LOC_Os07g06850
Os07g0162700	LOC_Os07g06860
Os07g0162900	LOC_Os07g06880
Os07g0163000	LOC_Os07g06890
Os07g0163066	None
Os07g0163132	None
Os07g0163200	LOC_Os07g06900
Os07g0163500	LOC_Os07g06940
Os07g0163800	LOC_Os07g06950
Os07g0163900	LOC_Os07g06960
Os07g0164000	LOC_Os07g06970
Os07g0164100	LOC_Os07g06980
Os07g0164200	LOC_Os07g06990
Os07g0164300	LOC_Os07g07000
Os07g0164500	LOC_Os07g07010
Os07g0164600	LOC_Os07g07020
Os07g0164700	LOC_Os07g07030
Os07g0164800	LOC_Os07g07040
Os07g0164900	LOC_Os07g07050
Os07g0165000	LOC_Os07g07060
Os07g0165100	LOC_Os07g07070
Os07g0165200	LOC_Os07g07080
Os07g0165300	LOC_Os07g07094
Os07g0165650	None
Os07g0165700	LOC_Os07g07150
Os07g0165900	LOC_Os07g07170
Os07g0166100	LOC_Os07g07194
Os07g0166300	None
Os07g0166500	LOC_Os07g07210
Os07g0166600	LOC_Os07g07220
Os07g0166700	LOC_Os07g07230
Os07g0166800	LOC_Os07g07240
Os07g0166850	None
Os07g0167000	LOC_Os07g07250
Os07g0167100	LOC_Os07g07260
Os07g0167200	LOC_Os07g07270
Os07g0167300	LOC_Os07g07280
Os07g0167500	LOC_Os07g07300
Os07g0167700	None
Os07g0168000	LOC_Os07g07310
Os07g0168300	LOC_Os07g07320
Os07g0168600	LOC_Os07g07340
Os07g0168700	None
Os07g0168800	LOC_Os07g07350
Os07g0168900	None
Os07g0169100	LOC_Os07g07370
Os07g0169300	LOC_Os07g07390
Os07g0169500	LOC_Os07g07400
Os07g0169600	LOC_Os07g07410
Os07g0169700	LOC_Os07g07420
Os07g0169800	LOC_Os07g07430
Os07g0170000	LOC_Os07g07440
Os07g0170016	None
Os07g0170049	None
Os07g0170100	LOC_Os07g07470
Os07g0170200	LOC_Os07g07480
Os07g0170300	LOC_Os07g07490
Os07g0170400	None
Os07g0170500	LOC_Os07g07500
Os07g0170800	LOC_Os07g07520
Os07g0170900	LOC_Os07g07530
Os07g0171100	LOC_Os07g07540
Os07g0171200	LOC_Os07g07550
Os07g0171300	LOC_Os07g07560
Os07g0171350	None
Os07g0172200	LOC_Os07g07580
Os07g0172500	LOC_Os07g07610
Os07g0172600	LOC_Os07g07620
Os07g0172900	LOC_Os07g07646,LOC_Os07g07654
Os07g0173100	LOC_Os07g07670
Os07g0173200	LOC_Os07g07680
Os07g0173300	LOC_Os07g07690
Os07g0173501	LOC_Os07g07709
Os07g0173601	LOC_Os07g07715
Os07g0173700	LOC_Os07g07719
Os07g0173850	None
Os07g0174200	LOC_Os07g07770
Os07g0174400	LOC_Os07g07790
Os07g0174700	LOC_Os07g07820
Os07g0174766	None
Os07g0174900	LOC_Os07g07860
Os07g0175000	LOC_Os07g07870
Os07g0175100	LOC_Os07g07880
Os07g0175200	LOC_Os07g07890
Os07g0175300	LOC_Os07g07900
Os07g0175350	None
Os07g0175400	LOC_Os07g07910
Os07g0175500	LOC_Os07g07920
Os07g0175600	LOC_Os07g07930
Os07g0175700	None
Os07g0175750	None
Os07g0175801	None
Os07g0175900	LOC_Os07g07950
Os07g0176200	LOC_Os07g07974
